职位名称,职位所属部门名称,工作地点,工作性质,经验要求,学历要求,薪资,专业要求,招聘人数,职位诱惑（福利待遇）,岗位描述,公司名称,公司行业,公司性质,公司发展阶段（融资阶段）,公司规模,公司主页链接,发布时间,发布网站,信息来源
系统架构师/leader-无人车,餐饮平台,北京市,全职,5年,本科,30K-50K,NULL,NULL,NULL,"工作职责：

负责无人配送车软件系统框架的构建
负责无人配送车各功能模块的设计和实现
负责模块化、可验证的系统软件架构设计和实时性能优化
与硬件、算法和测试团队合作，集成并优化自动驾驶系统
职位要求:

具有5 年以上操作系统或系统级中间件等相关工作经验
具有丰富的编程经验和良好的编程规范
 熟悉ROS，精通ROS的优化，精通ROS框架下的应用开发
具有丰富的嵌入式系统和 Linux 系统开发经验，精通驱动开发和软硬件协同调试
具有非常良好的团队合作精神，写得了代码，看得懂算法
优先考虑:

理解IA 和 ARM相关的系统架构，有硬件相关系统优化经验优先
具有Linux 和嵌入式实时操作系统内核经验优先
具有ROS系统开发及优化经验优先
具有大型CUDA 项目的开发经验优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=170089957223645235
感知定位算法研究员/专家-无人车,餐饮平台,北京市,全职,3年,博士,30K-50K,"计算机，机器人等相关专业博士优先
",NULL,NULL,"工作职责：
• 负责面向无人驾驶应用的机器视觉，激光雷达，里程计等数据处理和多传感器数据融合，实现多目标跟踪等复杂感知功能
• 负责融合GPS，里程计多种设备的导航定位算法研发
• 具有一定的软件编写和工程经验
职位要求：
• 具有独立的软件开发，数据分析和系统集成能力。熟悉C/C++，Python或者一种编程语言，或者精通MATLAB开发环境
• 具有视觉、里程计和激光雷达等传感器中一项或多项的算法研发经验，有多传感器融合经验
• 具有机器人或无人驾驶感知定位工作经历。
• 熟练掌握 Kalman 滤波和粒子滤波，具有多目标检测与跟踪研发经验
• 熟练掌握 SLAM 定位方法
• 从事过机器人或无人车定位导航系统研发工作
优先考虑：
• 计算机，机器人等相关专业博士优先
• 具有未来挑战参赛或者相关机器人比赛经历者",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=181322289322475571
云端运维产品经理（无人车）,餐饮平台,北京市,全职,2年,本科,20K-40K,计算机相关专业出身,NULL,NULL,"工作职责：
1.负责配送无人车基础运维平台、运营应用等产品的产品策划工作；（包括并不仅限于CMDB/作业平台/监控系统等相关运维产品）；
2.通过对项目的跟进、用户调研等方式明确了解客户的需求；
3.主导运营支撑系统类产品的设计工作，协调组织各方资源，保证产品的实现和交付；
4.配合部分产品/活动运营等工作。
职位要求：
1.大学本科以上学历，计算机相关专业出身，具有2年以上互联网或IT公司的技术运营工作经验；
2.有运维工作背景，了解并具备DevOps能力，有使用Python/PHP等编程语言开发过运营支撑系统的经验更佳；
3.熟练使用Office、Axure、PhotoShop等相关软件，且有较深厚的产品文档撰写功底和交互设计能力；
4.思维敏捷，有较强的行业敏感度，知识面广，对运维技术行业的动态和趋势有充分了解；
5.擅长对用户及企业需求的产品理解和表达，有较强的数据和用户行为分析能力；
6.较强的沟通、执行力和跨部门协作的能力，富有创新精神，注重团队协作意识；
7.具有独特的创造性思维和较强的业务规划能力，并能承受一定的工作抗压能力。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232386458053037420
自动驾驶OS产品专家（无人车）,餐饮平台,北京市,全职,5年,本科,30K-50K,计算机、电子等相关专业,NULL,NULL,"工作职责：
1.负责配送机器人产品对操作系统的需求调研，完成操作系统的功能规划；
2.调研市场现有OS产品和即将上市的产品，研究产品趋势和功能实现，把握产品在框架体系、硬件驱动、系统运维、用户体验等方面的发展方向，和团队一起完成操作系统选型和技术选型；
3.负责产品操作系统功能策划，完成公司自动驾驶OS的系统架构、系统功能等方案设计，及产出产品的交互界面、流程原型、需求文档及开发接口文档等；
4.分析运维后台数据和用户反馈，结合OS产品动向和其他产品需求，对系统及运维后台等产品进行持续优化和改进；
5.及时解决产品上线后的各项业务运行问题，对业务部门运行提供指导和支持；
6.完成上级指定的其他工作。
 
职位要求：
1.本科及以上学历，计算机、电子等相关专业；5年以上移动应用及客户端产品经验，2年以上OS产品经验；
2.熟悉安卓、iOS 、Windows、linux等主流操作系统的基本原理、硬件驱动及周边；
3.熟悉ROS机器人开发框架；
3.熟悉智能硬件产业，了解主流智能硬件相关知识，及硬件驱动、BSP与系统的交互原理等；
4.热爱机器人无人车产品，对用户体验感受敏锐，逻辑能力强；
5.熟练使用Axure RP、Visio、Mindjet MindManager等常用软件工具，能够撰写高质量的产品文档；
6.具有优秀的沟通、组织、协调能力；具有较强的团队领导能力和协作精神，爱岗敬业，责任心强。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232385144757734757
计算机视觉算法研究员/高级专家,餐饮平台,北京市,全职,5年,硕士,30K-50K,NULL,NULL,NULL,"计算机视觉算法研究员/高级专家
工作地点：北京
工作职责：
• 用视觉识别和理解复杂环境，为视觉主导的无人驾驶系统在感知和定位方提供强有力的支撑
职位要求：
• 有扎实的图像分析和模式识别理论基础，精通目标检测、跟踪、识别等常见的
计算机视觉处理任务
• 有扎实的数学基础，精通常见的几何、统计学等，并熟悉这些技术在图像识别领域中的应用
• 有很强的工程能力，精通 C++ 语言以及至少另一种常见编程语言
• 对计算机结构有深刻的认识，能够开发高性能、实时运行的图像处理软件
• 有发明创造的理想和热情，致力于创造解决实际问题的视觉感知技术
优先考虑：
• 熟悉visual SLAM 等在机器人定位和导航领域中常用的经典方法
• 熟悉stereo ， structured light， ToF 等三维成像原理和方法
• 熟悉图像识别领域的常见工具如 OpenCV 等
• 熟悉高性能运算加速工具如 Neon 以及GPGPU 技术如 GLES， CUDA 和OpenCL 等
• 发表过CVPR/ECCV/ICCV/NIPS/ICML 等视觉和 AI 领域会议文章
• 熟悉图像识别领域的常见工具如 OpenCV 、MATLAB 等",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=181320289176338476
规划控制算法研究员/专家,外卖配送事业群,北京市,全职,5年,硕士,25K-40K,计算机，机器人等相关专业博士优先,NULL,NULL,"工作职责
• 融合多传感器感知和定位数据，研发真实道路和交通条件下的无人驾驶规划算法
• 开发满足复杂场景和任务要求的无人驾驶规划算法
• 开发无人驾驶系统纵横向控制算法

职位要求
• 具有机器人或无人驾驶规划工作经历
• 具有轮式车辆纵横向控制工作经历
• 精通控制理论，掌握pid，mpc，模糊控制等多种控制方法
• 极度重视发现问题和解决问题能力。
优先考虑
• 具有无人车系统体系架构设计者
• 计算机，机器人等相关专业博士优先
• 具有未来挑战参赛或者相关机器人比赛经历者",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=181321882422919279
飞控算法工程师-无人机,餐饮平台,北京市,全职,5年,硕士,20K-40K,NULL,NULL,NULL,"岗位职责：

1. 负责送餐无人机的导航、制导、控制算法的研究和设计工作；

2. 负责研究控制算法及其仿真系统搭建及应用； 

3. 根据飞行器总体设计方案进行飞行动力学建模、控制环路建模以及算法推导，提升控制系统性能、稳定性和鲁棒性；

4. 负责部分传感器接口及用户协议接口编写

5.结合实际应用场景需求完善飞控系统

职位要求：
1. 扎实的C/C++语言功底，优秀的软件架构能力及良好的编程风格；
2. 对经典与现代控制理论及算法工程应用有深刻理解和项目经验；
3. 掌握飞行力学、控制相关知识，具有扎实的数学基础，掌握PID/EKF/DCM原理及应用，有丰富的参数调试经验；
4. 了解Pixhawk，熟悉PX4/Ardupilot等开源飞控或具有飞控产品开发经验；
5. 精通ARM平台下嵌入式软件应用开发，精通实时操作系统下嵌入式开发以及IPC通讯

6.基础扎实、阳光开朗、精力充沛、敢于挑战，愿意投身业务一线",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=258858723858844691
视觉算法工程师-无人机,餐饮平台,北京市,全职,5年,硕士,25K-40K,计算机、数学、自动化及相关专业，硕士以上学历,NULL,NULL,"岗位职责：
1.根据项目需求设计视觉算法并在嵌入式平台环境下实现

2.搭建图像和数据采集软硬件环境用于算法调试和性能评估

3.负责视觉导航、3D vSLAM相关算法研究、实现与调试；

任职要求:
1.计算机、数学、自动化及相关专业，硕士以上学历；
2.具有扎实的数学基础，熟悉矩阵、概率论、及相关优化理论；
3.具有丰富的计算机视觉、机器视觉、视觉SLAM相关经验，有顶会、顶刊论文发表优先；
4.熟悉导航经典滤波算法，如卡尔曼、EKF、粒子滤波等；
5.具有视觉导航实际项目经验，有开发用于机器人和无人机的机器视觉系统和产品的经验优先
6.具有扎实的代码实现能力，熟练使用C/C++，matlab，python等工具；
7.愿意接受挑战，渴望个人产出与一线巨大应用场景结合",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=258860729712577620
自动驾驶仿真系统工程师（无人车）,餐饮平台,北京市,全职,5年,本科,25K-50K,NULL,NULL,NULL,"工作职责
• 与感知、规划控制和服务平台团队一起定义仿真场景，建立并泛化仿真场景
• 虚拟传感器增强以及仿真环境在环能力增强
• 建立并部署大规划仿真验证系统
 
职位要求
• 扎实的计算机系统软件知识，良好的英语阅读能力
• 良好的编程能力， 包括熟悉C/C++语言以及相应的GNU工具链，熟悉至少一种脚本语言
• 至少熟悉一种仿真环境以及相应的的remote API接口编程.
• 对传感器以及虚拟传感器有一定的了解
优先考虑:
• 有3D赛车游戏开发经验优先
• 有3D框架比如Unity开发经验优先
• 具有模拟器开发经验优先",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232410730177563941
云端数据平台产品经理（无人车）,餐饮平台,北京市,全职,5年,本科,25K-50K,NULL,NULL,NULL,"工作职责：
1. 整体负责配送无人车大数据平台产品设计与规划； 
2. 负责数据管理平台功能完善，包括数据质量体系、权限体系搭建； 
3. 负责BI&数据可视化平台功能完善，包括自助报表、自助Dashboard搭建； 
4. 负责团队数据驱动氛围建设，包括数据能力培训体系推广，自助数据功能推广； 
5. 负责团队指标集中化&可视化管理，梳理指标标准化定义。
任职要求：
1. 本科学历以上，4年及以上互联网产品经理岗位工作经验；
2. 有大数据产品团队经验，参与过大型互联网公司数据治理项目经验； 
3. 熟悉数据仓库、商业智能基本理论，有数据分析系统使用经验； 
4. 较强的逻辑思考能力和归纳总结能力，具备产品&业务规划能力； 
5. 有较强的沟通协调能力和主动性，为结果负责。",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232387539332025714
数据平台Java后台开发-无人车,餐饮平台,北京市,全职,5年,本科,25K-50K,计算机专业,NULL,NULL,"工作职责

负责无人配送车数据平台后台的设计与实现；
负责无人配送车相关数据的存储、查询、挖掘等的功能开发；
负责相关新技术研究；

工作要求

1. 扎实的计算机专业基本功，强大的代码编写能力；
2. 熟练掌握 Java 及面向对象设计开发，对部分 Java 技术有深入研究，研究过优秀开源软件的源码并有心得者优先；
3. 了解 SOA 架构理念、实现技术；熟悉常见设计模式，熟练掌握 Spring、myBatis 等框架；
4. 熟练掌握 MySQL 应用开发、数据库原理和常用性能优化和扩展技术，以及 NoSQL，Queue 的原理、使用场景以及限制
5. 研究过 http 协议、搜索引擎、缓存、jvm 调优、序列化、nio、RPC 调用框架等，有相应实践经验者优先
6. 参与过大型复杂分布式互联网（特别是电商） 用户端 WEB / API 系统的设计开发者优先
7. 拥有和工作年限相称的广度和（或）深度，有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；
8. 高度的创业心和投入度，既能搞定牛逼的技术难题，同时又热切地关注业务，用技术力贡献于业务成功",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=232411685807787307
高级机械工程师-无人机,餐饮平台,北京市,全职,5年,本科,20K-35K,机械设计相关专业,NULL,NULL,"岗位职责：
1.负责项目的总体设计、机电产品的结构设计、产品机电接口设计及相关的工艺设计；
2.负责产品的标准化设计、产品的生产加工工艺改进设计；
3.负责产品的生产跟踪、试验、现场安装等过程的技术指导；
4.负责产品生产及现场安装调试过程中技术问题的处理；
     

任职要求:
1.本科及以上学历，机械设计相关专业；
2.3年以上机械设计相关工作经验；
3.熟练运用AutoCad、SolidWorks绘图软件，具有丰富一线工程经验，有自动化物流设备、自动化仓储设备等项目经历优先
4.具有机电一体化产品开发工程能力，具有系统总体设计能力，有量产设备经验优先、有小型团队管理
5.具备优秀的语言表达、沟通及协调能力，有小型团队管理经验优先
6.阳光开朗，热爱机械设计行业，愿意接受挑战并投身业务一线",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=258862282822257703
Android开发-无人车,餐饮平台,北京市,全职,5年,本科,20K-35K,扎实的计算机专业基本功,NULL,NULL,"职位描述：

1.负责配送无人车人机交互客户端的技术方案设计、代码编写

2.负责配送无人车人机交互客户端应用框架、SDK的设计开发、维护及扩展 

  3.跟进Android新技术的发展

  4.解决项目全程的各种问题

任职要求：

1.扎实的计算机专业基本功，强大的代码编写能力；3年以上的Java移动开发经验，2年以上Android开发经验；

2.精通 Android APP 设计与开发，熟悉Android框架，了解各种优化技术；对Android系统应用管理、进程管理、内存管理机制有深入理解；

3.精通Android UI布局开发、动画开发、多线程开发；

4.熟练掌握APP 安全、性能、稳定性等非功能属性相关的技术； 

5.对后端技术、内核有所理解和探究，对 API 有审美和设计能力；

6.有较大用户量（100万+） APP 设计/开发/持续改善经验者优先（骨干or 主导）； 

7.对底层框架、内核有所理解和探究；

8.习惯于较别人深入一层；拥有和工作年限相称的广度和（或）深度 ；

9.有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；

10.高度的创业心和投入度，既能搞定高难度的技术问题，同时又热切的关注业务，用技术力贡献于业务成功",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=252227079420904371
运维平台JAVA后台开发-无人车,餐饮平台,北京市,全职,5年,本科,20K-40K,扎实的计算机专业基本功,NULL,NULL,"工作职责

负责无人配送车运维平台的设计与实现；
负责无人配送车遥控系统、监控系统、资产管理系统等系统的功能开发；
负责相关新技术研究；

工作要求

1. 扎实的计算机专业基本功，强大的写码能力；
2. 熟练掌握 Java 及面向对象设计开发，对部分 Java 技术有深入研究，研究过优秀开源软件的源码并有心得者优先；
3. 了解 SOA 架构理念、实现技术；熟悉常见设计模式，熟练掌握 Spring、myBatis 等框架；
4. 熟练掌握 MySQL 应用开发、数据库原理和常用性能优化和扩展技术，以及 NoSQL，Queue 的原理、使用场景以及限制
5. 研究过 http 协议、搜索引擎、缓存、jvm 调优、序列化、nio、RPC 调用框架等，有相应实践经验者优先
6. 参与过大型复杂分布式互联网（特别是电商） 用户端 WEB / API 系统的设计开发者优先
7. 拥有和工作年限相称的广度和（或）深度，有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题；
8. 高度的创业心和投入度，既能搞定牛逼的技术难题，同时又热切地关注业务，用技术力贡献于业务成功",美团点评,O2O/生活服务，战略投资,电商平台,,10000人以上,www.meituan.com,2018/2/2,https://zhaopin.meituan.com,https://zhaopin.meituan.com/job-detail?jobId=254866448002713230
